dropped_seed,dropped_pid,dropped_trials,dropped_contribution,loo_delta,loo_recoveries,loo_regressions
60601,1,2,0,0.19922630560928434,105,2
60601,2,8,0,0.20156555772994128,105,2
60601,3,8,0,0.20156555772994128,105,2
60601,4,2,0,0.19922630560928434,105,2
60601,5,2,0,0.19922630560928434,105,2
60601,7,1,0,0.19884169884169883,105,2
60601,10,8,0,0.20156555772994128,105,2
60601,12,8,0,0.20156555772994128,105,2
60601,15,6,0,0.20077972709551656,105,2
60601,17,1,0,0.19884169884169883,105,2
60601,18,4,0,0.2,105,2
60601,19,2,0,0.19922630560928434,105,2
60601,20,4,0,0.2,105,2
60601,27,6,0,0.20077972709551656,105,2
60601,29,1,0,0.19884169884169883,105,2
60601,31,1,0,0.19884169884169883,105,2
60601,38,1,0,0.19884169884169883,105,2
60601,43,2,0,0.19922630560928434,105,2
60601,47,4,0,0.2,105,2
60601,53,1,0,0.19884169884169883,105,2
60601,58,8,0,0.20156555772994128,105,2
60601,61,1,0,0.19884169884169883,105,2
60601,75,8,0,0.20156555772994128,105,2
60601,78,4,0,0.2,105,2
60601,81,1,0,0.19884169884169883,105,2
60601,88,6,0,0.20077972709551656,105,2
60601,96,8,0,0.20156555772994128,105,2
60601,98,7,0,0.201171875,105,2
60601,100,8,0,0.20156555772994128,105,2
60601,101,8,0,0.20156555772994128,105,2
60601,102,8,0,0.20156555772994128,105,2
60601,111,8,0,0.20156555772994128,105,2
60601,115,3,0,0.1996124031007752,105,2
60601,126,1,0,0.19884169884169883,105,2
60601,127,4,0,0.2,105,2
60602,2,8,0,0.20156555772994128,105,2
60602,7,1,1,0.1969111969111969,104,2
60602,11,1,0,0.19884169884169883,105,2
60602,12,8,8,0.18590998043052837,97,2
60602,16,1,0,0.19884169884169883,105,2
60602,17,1,0,0.19884169884169883,105,2
60602,18,4,0,0.2,105,2
60602,26,1,0,0.19884169884169883,105,2
60602,35,8,8,0.18590998043052837,97,2
60602,39,4,0,0.2,105,2
60602,43,2,0,0.19922630560928434,105,2
60602,46,4,0,0.2,105,2
60602,47,3,0,0.1996124031007752,105,2
60602,49,1,0,0.19884169884169883,105,2
60602,50,1,0,0.19884169884169883,105,2
60602,63,5,0,0.20038910505836577,105,2
60602,69,4,0,0.2,105,2
60602,79,3,0,0.1996124031007752,105,2
60602,83,1,1,0.1969111969111969,104,2
60602,91,8,7,0.18786692759295498,98,2
60602,95,4,0,0.2,105,2
60602,98,2,2,0.195357833655706,103,2
60602,99,1,0,0.19884169884169883,105,2
60602,100,8,0,0.20156555772994128,105,2
60602,111,1,1,0.1969111969111969,104,2
60602,114,8,0,0.20156555772994128,105,2
60602,121,1,0,0.19884169884169883,105,2
60602,124,1,0,0.19884169884169883,105,2
60602,126,2,0,0.19922630560928434,105,2
60603,1,7,0,0.201171875,105,2
60603,2,8,0,0.20156555772994128,105,2
60603,3,8,8,0.18590998043052837,97,2
60603,7,4,3,0.1941747572815534,102,2
60603,9,3,1,0.19767441860465115,104,2
60603,10,7,0,0.201171875,105,2
60603,14,3,0,0.1996124031007752,105,2
60603,15,7,0,0.201171875,105,2
60603,16,6,0,0.20077972709551656,105,2
60603,18,5,0,0.20038910505836577,105,2
60603,19,4,2,0.19611650485436893,103,2
60603,28,7,0,0.201171875,105,2
60603,29,1,0,0.19884169884169883,105,2
60603,35,6,6,0.18908382066276802,99,2
60603,39,5,5,0.19066147859922178,100,2
60603,41,8,0,0.20156555772994128,105,2
60603,42,1,0,0.19884169884169883,105,2
60603,43,2,1,0.19729206963249515,104,2
60603,47,8,6,0.1898238747553816,99,2
60603,49,5,0,0.20038910505836577,105,2
60603,50,5,0,0.20038910505836577,105,2
60603,53,6,0,0.20077972709551656,105,2
60603,54,3,0,0.1996124031007752,105,2
60603,56,1,0,0.19884169884169883,105,2
60603,57,1,0,0.19884169884169883,105,2
60603,59,2,0,0.19922630560928434,105,2
60603,61,2,0,0.19922630560928434,105,2
60603,63,1,0,0.19884169884169883,105,2
60603,65,1,0,0.19884169884169883,105,2
60603,69,6,0,0.20077972709551656,105,2
60603,70,5,0,0.20038910505836577,105,2
60603,71,2,0,0.19922630560928434,105,2
60603,77,2,0,0.19922630560928434,105,2
60603,78,8,0,0.20156555772994128,105,2
60603,79,4,0,0.2,105,2
60603,81,1,0,0.19884169884169883,105,2
60603,82,2,-1,0.2011605415860735,105,1
60603,83,3,3,0.1937984496124031,102,2
60603,85,2,0,0.19922630560928434,105,2
60603,87,4,0,0.2,105,2
60603,88,6,-1,0.20272904483430798,105,1
60603,91,8,8,0.18590998043052837,97,2
60603,94,6,3,0.1949317738791423,102,2
60603,95,8,1,0.19960861056751467,104,2
60603,96,8,8,0.18590998043052837,97,2
60603,99,4,0,0.2,105,2
60603,101,8,2,0.19765166340508805,103,2
60603,102,7,7,0.1875,98,2
60603,104,3,3,0.1937984496124031,102,2
60603,107,8,0,0.20156555772994128,105,2
60603,110,1,1,0.1969111969111969,104,2
60603,111,8,8,0.18590998043052837,97,2
60603,112,7,0,0.201171875,105,2
60603,113,5,1,0.19844357976653695,104,2
60603,115,6,0,0.20077972709551656,105,2
60603,120,5,0,0.20038910505836577,105,2
60603,121,1,0,0.19884169884169883,105,2
60603,124,2,0,0.19922630560928434,105,2
